Year,RK,Team,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
2013,26,Kansas,34,75.4,6,16,205,558,0.367,700,1328,0.527,1.36,0.534
2013,27,Albany,34,64.4,6,16,204,560,0.364,538,1136,0.474,1.29,0.498
2013,28,Arizona,32,73.3,7.7,21,245,675,0.363,556,1106,0.503,1.32,0.519
2013,29,Kansas State,34,69.2,6.9,19,234,645,0.363,614,1300,0.472,1.21,0.496
2013,30,Southern,32,67.7,6.8,19,216,596,0.362,527,1115,0.473,1.27,0.497
2013,31,Bucknell,33,67.3,4.6,13,152,422,0.36,643,1323,0.486,1.27,0.499
2013,32,Pittsburgh,32,69.6,5.1,14,162,450,0.36,656,1271,0.516,1.29,0.522
2013,33,Ohio State,32,69.9,6.2,17,198,551,0.359,609,1220,0.499,1.26,0.512
2013,34,Georgetown,31,64.6,5.9,16,182,509,0.358,531,1054,0.504,1.28,0.514
2013,35,VCU,33,78,8.1,23,267,750,0.356,666,1314,0.507,1.25,0.517
2013,36,New Mexico,34,67.4,6.4,18,218,615,0.354,529,1144,0.462,1.3,0.487
2013,37,Miami,32,69.4,6.7,19,213,606,0.351,584,1133,0.515,1.28,0.52
2013,38,Butler,34,69.3,6.6,19,225,647,0.348,600,1173,0.512,1.29,0.515
2013,39,Colorado,32,68.2,5.4,16,173,498,0.347,585,1239,0.472,1.26,0.486
2013,40,Saint Louis,32,68.9,6.2,18,198,571,0.347,547,1094,0.5,1.32,0.507
2013,41,Michigan State,33,68.2,5,15,164,480,0.342,646,1281,0.504,1.28,0.507
2013,42,Missouri,33,76.2,6.3,19,208,612,0.34,692,1346,0.514,1.28,0.513
2013,43,UCLA,34,74.7,4.9,14,167,492,0.339,774,1576,0.491,1.23,0.495
2013,44,Florida Gulf Coast,34,73.1,6.8,20,230,678,0.339,672,1282,0.524,1.27,0.519
2013,45,Wisconsin,33,66.2,7.5,22,249,736,0.338,541,1117,0.484,1.18,0.494
2013,46,Akron,32,72.7,7.1,21,228,676,0.337,609,1155,0.527,1.27,0.519
2013,47,Wichita State,34,69.4,6.6,20,224,665,0.337,612,1222,0.501,1.25,0.502
2013,48,Villanova,33,67.8,6.1,18,200,596,0.336,505,1102,0.458,1.32,0.474
2013,49,Syracuse,35,71.3,6.1,18,212,634,0.334,687,1408,0.488,1.22,0.492
2013,50,Temple,32,72.8,7.3,22,233,698,0.334,573,1176,0.487,1.24,0.492
2013,51,James Madison,34,65.2,5.7,17,195,585,0.333,571,1238,0.461,1.22,0.474
2013,52,Colorado State,33,73.1,5.1,15,168,506,0.332,669,1364,0.49,1.29,0.493
2013,53,Ole Miss,33,78.2,6.9,21,227,685,0.331,671,1368,0.49,1.26,0.493
2013,54,Louisville,34,73.6,5.8,18,198,599,0.331,681,1375,0.495,1.27,0.495
2013,55,UNLV,34,71.7,6.5,20,221,669,0.33,632,1274,0.496,1.25,0.496
2013,56,Oklahoma,31,71.1,5,15,154,472,0.326,626,1317,0.475,1.23,0.479
2013,57,Minnesota,32,68.4,5.2,16,167,512,0.326,597,1215,0.491,1.27,0.491
2013,58,Illinois,34,69.1,7.8,24,265,815,0.325,554,1156,0.479,1.19,0.483
2013,59,San Diego State,32,69.2,5.9,18,188,580,0.324,600,1219,0.492,1.23,0.49
2013,60,Western Kentucky,35,67.2,6.4,20,223,689,0.324,593,1204,0.493,1.24,0.49
2013,61,Oregon,34,71.7,5,16,171,530,0.323,695,1407,0.494,1.26,0.491
2013,62,New Mexico State,34,68,4,12,135,422,0.32,680,1345,0.506,1.31,0.499
2013,63,Northwestern State,31,81,6,19,186,586,0.317,715,1370,0.522,1.28,0.508
2013,64,Cincinnati,33,66.6,6.8,21,225,709,0.317,539,1190,0.453,1.16,0.462
2013,65,Oklahoma State,32,72.4,5.6,18,178,563,0.316,615,1239,0.496,1.29,0.489
2013,66,California,31,67.5,4,13,125,411,0.304,660,1349,0.489,1.19,0.482
2013,67,Marquette,31,69,4.3,14,132,439,0.301,628,1190,0.528,1.31,0.507
2013,68,North Carolina A&T,35,62.2,5.7,19,201,673,0.299,531,1161,0.457,1.19,0.454
2012,1,Indiana,33,77.3,6.4,15,211,487,0.433,646,1272,0.508,1.45,0.547
2012,2,Creighton,33,80,8.2,19,270,636,0.425,655,1181,0.555,1.45,0.583
2012,3,Murray State,31,74.2,7.4,18,230,566,0.406,541,1051,0.515,1.42,0.548
2012,4,Colorado State,31,71,6,15,186,459,0.405,562,1114,0.504,1.4,0.535
2012,5,Temple,31,76,7.3,18,226,562,0.402,620,1232,0.503,1.31,0.535
2012,6,Missouri,34,80.3,8.2,21,280,708,0.395,672,1182,0.569,1.44,0.578
2012,7,Iona,32,83.3,7.8,20,248,631,0.393,742,1332,0.557,1.36,0.567
2012,8,South Dakota State,34,77.3,8.1,21,274,698,0.393,623,1215,0.513,1.37,0.541
2012,9,Vanderbilt,33,73,8.7,22,288,737,0.391,530,1041,0.509,1.35,0.541
2012,10,Florida,33,76.3,9.9,25,328,841,0.39,544,1052,0.517,1.33,0.547
2012,11,New Mexico,33,73.2,7.6,20,252,655,0.385,576,1135,0.507,1.35,0.533
2012,12,Baylor,34,74.9,6.8,18,231,607,0.381,668,1304,0.512,1.33,0.531
2012,13,Kentucky,33,77.1,5.7,15,189,497,0.38,717,1363,0.526,1.37,0.538
2012,14,Iowa State,32,73.2,8.9,23,284,748,0.38,512,1025,0.5,1.32,0.529
2012,15,Belmont,34,81.5,8.8,23,299,790,0.378,655,1182,0.554,1.41,0.56
2012,16,Purdue,33,72.2,8.2,22,271,719,0.377,572,1193,0.479,1.25,0.512
2012,17,Duke,33,77.5,8.1,22,268,713,0.376,582,1144,0.509,1.38,0.53
2012,18,Gonzaga,31,74,6.4,17,198,527,0.376,575,1107,0.519,1.4,0.534
2012,19,Montana,31,70.6,6.2,17,192,515,0.373,570,1124,0.507,1.34,0.524
2012,20,Wichita State,32,77.7,7,19,225,604,0.373,663,1226,0.541,1.36,0.547
2012,21,UNLV,34,76.7,8.3,22,282,763,0.37,637,1228,0.519,1.31,0.532
2012,22,Memphis,34,75.3,5.4,15,183,496,0.369,729,1349,0.54,1.39,0.544
2012,23,Long Island University,33,81.9,6.6,18,217,589,0.368,681,1301,0.523,1.43,0.533
2012,24,California,33,71.7,4.6,13,153,416,0.368,719,1404,0.512,1.3,0.521
2012,25,Michigan State,33,72.3,5.4,15,179,494,0.362,676,1302,0.519,1.33,0.526
2012,26,Saint Louis,32,69.2,7.1,20,226,625,0.362,549,1091,0.503,1.29,0.517
2012,27,Wisconsin,33,63.9,7.6,21,251,696,0.361,479,1027,0.466,1.22,0.497
2012,28,Long Beach State,33,74,6.6,18,217,602,0.36,635,1213,0.523,1.35,0.529
2012,29,Southern Miss,33,71.6,6.3,18,207,578,0.358,590,1337,0.441,1.23,0.47
2012,30,Kansas,33,75,6,17,198,553,0.358,681,1259,0.541,1.37,0.54
2012,31,Lehigh,33,76.2,7.4,21,245,686,0.357,614,1228,0.5,1.31,0.513
2012,32,Harvard,30,65.4,5.9,16,176,494,0.356,494,940,0.526,1.37,0.529
2012,33,NC State,34,73.4,5.4,15,182,512,0.355,725,1448,0.501,1.27,0.509
2012,34,Xavier,32,71.3,5,14,159,448,0.355,650,1325,0.491,1.29,0.501
2012,35,UNC Asheville,33,81.2,6.5,18,214,606,0.353,685,1252,0.547,1.44,0.541
2012,36,Michigan,33,66.5,8.2,23,269,765,0.352,517,958,0.54,1.27,0.534
2012,37,Saint Mary's,32,74.9,7.5,22,241,688,0.35,589,1059,0.556,1.37,0.544
2012,38,Florida State,32,69.9,6,17,192,553,0.347,609,1211,0.503,1.27,0.509
2012,39,Georgetown,31,69.1,5.6,16,173,499,0.347,587,1144,0.513,1.3,0.515
2012,40,Vermont,34,67.2,5.4,16,184,532,0.346,614,1269,0.484,1.27,0.494
2012,41,Syracuse,33,74.6,6.4,19,211,611,0.345,698,1342,0.52,1.26,0.52
2012,42,North Carolina,33,82,5.1,15,167,486,0.344,825,1657,0.498,1.26,0.502
2012,43,Colorado,34,67.6,5.5,16,187,545,0.343,603,1230,0.49,1.29,0.498
2012,44,Cincinnati,34,68.5,7.1,21,243,709,0.343,609,1320,0.461,1.15,0.48
2012,45,Kansas State,31,71.4,5.7,17,177,517,0.342,593,1223,0.485,1.27,0.493
2012,46,BYU,33,78.2,6.6,19,219,640,0.342,705,1336,0.528,1.31,0.523
2012,47,St. Bonaventure,30,70.8,5.4,16,162,474,0.342,565,1105,0.511,1.35,0.512
2012,48,San Diego State,33,71.2,5.7,17,189,555,0.341,651,1287,0.506,1.28,0.507
2012,49,Loyola (MD),32,67.6,5,15,160,470,0.34,576,1251,0.46,1.26,0.474
2012,50,Davidson,32,78.4,7.8,23,251,741,0.339,607,1168,0.52,1.31,0.515
2012,51,Lamar,34,73.9,4.4,13,149,441,0.338,733,1586,0.462,1.24,0.472
2012,52,Ohio,34,70.7,7.4,22,251,743,0.338,588,1211,0.486,1.23,0.494
2012,53,VCU,34,68.4,7.4,22,252,747,0.337,537,1177,0.456,1.21,0.476
2012,54,Marquette,32,75.9,5.7,17,182,540,0.337,666,1307,0.51,1.32,0.508
2012,55,Virginia,31,63.1,4.9,15,152,451,0.337,551,1078,0.511,1.28,0.509
2012,56,Mississippi Valley State,34,69.5,7.6,23,260,781,0.333,557,1240,0.449,1.17,0.469
2012,57,UConn,33,68.8,5.4,16,178,538,0.331,659,1306,0.505,1.23,0.502
2012,58,Ohio State,33,75.1,4.9,15,161,489,0.329,752,1390,0.541,1.32,0.529
2012,59,Notre Dame,33,66.5,6.4,20,212,644,0.329,544,1107,0.491,1.25,0.492
2012,60,Texas,33,73.1,5.8,18,190,581,0.327,626,1289,0.486,1.29,0.487
2012,61,New Mexico State,35,78.5,4.6,14,161,493,0.327,782,1503,0.52,1.38,0.513
2012,62,South Florida,33,59.2,4.7,15,154,487,0.316,553,1133,0.488,1.21,0.484
2012,63,Norfolk State,34,69,5.4,17,184,592,0.311,636,1261,0.504,1.27,0.492
2012,64,Louisville,35,68.8,5.9,19,206,663,0.311,642,1334,0.481,1.21,0.476
2012,65,Western Kentucky,33,65.1,5.7,18,187,607,0.308,538,1220,0.441,1.18,0.448
2012,66,Detroit Mercy,35,72.8,4.6,15,162,536,0.302,721,1409,0.512,1.31,0.496
2012,67,West Virginia,32,71.6,5.3,18,171,566,0.302,651,1299,0.501,1.23,0.487
2012,68,Alabama,32,64.9,4,14,129,453,0.285,627,1221,0.514,1.24,0.49
2011,1,Ohio State,34,77.1,7.4,18,251,608,0.413,682,1282,0.532,1.39,0.56
2011,2,Wofford,33,73.8,5.8,14,193,474,0.407,668,1323,0.505,1.36,0.533
2011,3,Bucknell,33,70.8,6.9,17,227,564,0.402,584,1240,0.471,1.29,0.512
2011,4,Richmond,34,70.2,7.9,20,267,668,0.4,581,1163,0.5,1.3,0.536
2011,5,Arizona,34,76.5,7.9,20,270,676,0.399,594,1160,0.512,1.42,0.544
2011,6,Little Rock,35,68,6.7,17,233,586,0.398,568,1296,0.438,1.26,0.488
2011,7,Kentucky,33,76.4,7.4,19,243,612,0.397,641,1308,0.49,1.31,0.524
2011,8,George Mason,32,73.3,6.7,17,215,542,0.397,614,1206,0.509,1.34,0.536
2011,9,Notre Dame,32,76,8.1,21,259,661,0.392,544,1062,0.512,1.41,0.541
2011,10,Pittsburgh,32,74.1,5.9,15,188,482,0.39,647,1279,0.506,1.35,0.528
2011,11,Northern Colorado,31,72.2,7.9,20,246,635,0.387,466,1018,0.458,1.35,0.505
2011,12,Kansas,34,82.4,7.3,19,247,638,0.387,759,1321,0.575,1.43,0.577
2011,13,Illinois,32,71.3,6.8,18,219,566,0.387,624,1237,0.504,1.27,0.528
2011,14,Belmont,34,80.4,9.4,25,321,842,0.381,605,1154,0.524,1.37,0.544
2011,15,Oakland,34,85.6,8.2,22,280,738,0.379,739,1324,0.558,1.41,0.562
2011,16,Texas,34,74.9,5.7,15,194,515,0.377,706,1468,0.481,1.28,0.503
2011,17,Kansas State,32,73.1,7.1,19,226,602,0.375,579,1235,0.469,1.27,0.5
2011,18,Duke,34,81.1,8,21,272,725,0.375,684,1314,0.521,1.35,0.536
2011,19,UC Santa Barbara,31,68.4,7.2,19,222,592,0.375,503,997,0.505,1.33,0.526
2011,20,Wisconsin,31,68.2,8.1,22,250,673,0.371,490,989,0.495,1.27,0.52
2011,21,Washington,33,83.5,8.8,24,291,784,0.371,711,1344,0.529,1.3,0.539
2011,22,Vanderbilt,33,76.2,7.8,21,257,695,0.37,568,1112,0.511,1.39,0.528
2011,23,Missouri,33,81.4,7.2,20,239,650,0.368,720,1432,0.503,1.29,0.518
2011,24,Utah State,33,72.2,6.1,16,200,544,0.368,617,1194,0.517,1.37,0.528
2011,25,Princeton,31,69.6,6.1,17,190,517,0.368,574,1127,0.509,1.31,0.523
2011,26,Purdue,32,72.7,6.9,19,222,605,0.367,600,1231,0.487,1.27,0.508
2011,27,Gonzaga,33,76.7,5.8,16,192,524,0.366,688,1314,0.524,1.38,0.531
2011,28,Long Island University,32,82.6,6.9,19,221,604,0.366,676,1320,0.512,1.37,0.524
2011,29,Indiana State,33,66.5,6.9,19,228,628,0.363,519,1110,0.468,1.26,0.495
2011,30,BYU,34,81.6,8.3,23,282,778,0.362,657,1298,0.506,1.34,0.52
2011,31,Akron,35,70.5,7.9,22,276,764,0.361,593,1245,0.476,1.23,0.501
2011,32,Butler,32,72.8,7.5,21,239,662,0.361,558,1126,0.496,1.3,0.513
2011,33,Louisville,34,75.4,8.8,24,299,829,0.361,628,1220,0.515,1.25,0.525
2011,34,Georgetown,31,71,7,20,218,605,0.36,571,1046,0.546,1.33,0.544
2011,35,VCU,34,71.5,8.2,23,278,774,0.359,547,1121,0.488,1.28,0.509
2011,36,USC,33,66.8,6.2,17,203,568,0.357,595,1226,0.485,1.23,0.501
2011,37,UTSA,32,70.9,7.1,20,226,634,0.356,535,1130,0.473,1.29,0.495
2011,38,Florida,33,71.5,6.2,17,205,576,0.356,651,1278,0.509,1.27,0.517
2011,39,Boston University,34,65.2,7.5,21,256,721,0.355,475,1091,0.435,1.22,0.474
2011,40,Temple,32,70.9,6.1,17,195,551,0.354,624,1277,0.489,1.24,0.501
2011,41,Michigan State,33,68.5,6.4,18,210,595,0.353,582,1237,0.47,1.23,0.49
2011,42,Michigan,33,66.1,8.1,23,267,757,0.353,520,1015,0.512,1.23,0.519
2011,43,Marquette,34,76.1,5.3,15,179,508,0.352,726,1427,0.509,1.34,0.514
2011,44,Syracuse,33,73.6,6.4,18,210,597,0.352,677,1295,0.523,1.28,0.524
2011,45,Clemson,32,68.3,6.5,19,208,596,0.349,551,1123,0.491,1.27,0.502
2011,46,Villanova,32,72.7,6.3,18,203,582,0.349,574,1185,0.484,1.32,0.497
2011,47,Saint Peter's,33,61.4,5.8,17,192,552,0.348,504,1172,0.43,1.18,0.459
2011,48,San Diego State,34,72.2,5.9,17,201,584,0.344,708,1362,0.52,1.26,0.519
2011,49,Georgia,32,68.8,4.7,14,151,444,0.34,649,1328,0.489,1.24,0.494
2011,50,Morehead State,33,69.8,5.8,17,193,568,0.34,619,1201,0.515,1.3,0.514
2011,51,Cincinnati,33,69,6.4,19,212,626,0.339,585,1204,0.486,1.24,0.493
2011,52,Texas A&M,32,68.9,5.4,16,172,509,0.338,570,1159,0.492,1.32,0.496
2011,53,UAB,30,68.9,7.6,22,227,674,0.337,511,1003,0.509,1.23,0.508
2011,54,Penn State,33,63,6.3,19,208,619,0.336,533,1075,0.496,1.23,0.499
2011,55,West Virginia,31,69.5,6.3,19,194,579,0.335,540,1139,0.474,1.25,0.484
2011,56,North Carolina,33,76.7,5.2,16,173,519,0.333,748,1530,0.489,1.23,0.492
2011,57,Xavier,31,72.6,5.5,17,171,513,0.333,592,1136,0.521,1.37,0.515
2011,58,UNC Asheville,32,74.2,5,15,161,484,0.333,676,1357,0.498,1.29,0.498
2011,59,UConn,35,73.4,5.8,18,204,615,0.332,706,1487,0.475,1.22,0.481
2011,60,UNLV,32,71.9,5.5,17,177,534,0.331,644,1248,0.516,1.29,0.51
2011,61,Florida State,31,69.3,6.2,19,192,581,0.33,567,1160,0.489,1.23,0.491
2011,62,St. John's,32,70.1,4.3,13,136,412,0.33,644,1303,0.494,1.31,0.494
2011,63,Old Dominion,33,65.8,4.9,15,161,489,0.329,626,1294,0.484,1.22,0.487
2011,64,UCLA,32,70,5.2,16,166,505,0.329,619,1216,0.509,1.3,0.504
2011,65,Memphis,34,72,6,18,204,624,0.327,661,1297,0.51,1.27,0.503
2011,66,Hampton,32,67.3,6.5,20,209,644,0.325,518,1143,0.453,1.2,0.465
2011,67,Tennessee,33,70.6,5.2,17,172,565,0.304,650,1333,0.488,1.23,0.478
2011,68,Alabama State,34,61.3,4.6,16,158,557,0.284,548,1222,0.448,1.17,0.441
2010,1,Cornell,31,75.3,9.8,23,304,701,0.434,533,1044,0.511,1.34,0.567
2010,2,Utah State,34,73.7,7,17,237,565,0.419,680,1301,0.523,1.34,0.555
2010,3,BYU,34,83,8.1,19,277,661,0.419,695,1341,0.518,1.41,0.555
2010,4,Saint Mary's,31,79.5,8.5,21,263,639,0.412,612,1156,0.529,1.37,0.561
2010,5,Kansas,34,81.8,7.3,18,247,604,0.409,724,1384,0.523,1.4,0.551
2010,6,Marquette,33,72.9,7.9,20,262,645,0.406,572,1194,0.479,1.31,0.525
2010,7,Montana,31,70,6.6,16,204,505,0.404,565,1077,0.525,1.37,0.551
2010,8,Minnesota,33,73.3,7,17,232,575,0.403,639,1260,0.507,1.32,0.538
2010,9,Lehigh,32,75.1,6.7,17,213,532,0.4,604,1259,0.48,1.34,0.516
2010,10,Notre Dame,34,76,7.5,19,255,647,0.394,642,1247,0.515,1.36,0.541
2010,11,Baylor,32,77.6,7.2,18,229,587,0.39,655,1220,0.537,1.37,0.553
2010,12,Georgetown,33,73.2,6.2,16,204,526,0.388,670,1228,0.546,1.38,0.556
2010,13,Syracuse,32,81.5,6.7,17,215,558,0.385,747,1307,0.572,1.4,0.573
2010,14,Duke,33,78.4,7.6,20,252,655,0.385,631,1341,0.471,1.3,0.506
2010,15,Maryland,31,79.3,5.9,15,182,474,0.384,723,1444,0.501,1.28,0.519
2010,16,Ohio State,33,73.8,7.2,19,237,620,0.382,641,1158,0.554,1.37,0.56
2010,17,UC Santa Barbara,29,68.2,6.9,18,199,525,0.379,455,935,0.487,1.35,0.516
2010,18,Sam Houston State,32,79.9,8.8,23,281,744,0.378,605,1151,0.526,1.35,0.542
2010,19,Villanova,31,82.5,7.7,20,239,635,0.376,617,1207,0.511,1.39,0.53
2010,20,New Mexico,33,76.6,8,21,263,702,0.375,576,1202,0.479,1.33,0.51
2010,21,California,33,78,6.6,18,217,582,0.373,704,1347,0.523,1.33,0.534
2010,22,Xavier,32,80,7,19,223,600,0.372,660,1293,0.51,1.35,0.525
2010,23,Georgia Tech,33,73.6,6.1,16,202,544,0.371,681,1368,0.498,1.27,0.515
2010,24,Missouri,32,77.6,7.7,21,246,663,0.371,630,1322,0.477,1.25,0.503
2010,25,New Mexico State,33,78.6,8.5,23,279,753,0.371,617,1187,0.52,1.34,0.534
2010,26,Vanderbilt,32,77.3,6.2,17,199,540,0.369,638,1239,0.515,1.39,0.526
2010,27,Murray State,34,77.5,6.2,17,210,570,0.368,724,1287,0.563,1.42,0.56
2010,28,Robert Morris,34,68.5,5.6,15,192,526,0.365,601,1287,0.467,1.28,0.49
2010,29,Gonzaga,32,77.6,5.5,15,176,485,0.363,690,1269,0.544,1.42,0.544
2010,30,Wisconsin,31,67.5,7.6,21,237,656,0.361,495,991,0.499,1.27,0.516
2010,31,Ohio,35,74.2,7.3,20,255,710,0.359,616,1330,0.463,1.27,0.489
2010,32,Houston,34,78.6,8.3,23,283,794,0.356,650,1428,0.455,1.2,0.484
2010,33,Kansas State,33,79.6,6.7,19,222,624,0.356,646,1306,0.495,1.36,0.507
2010,34,Richmond,33,69.8,7.1,20,235,664,0.354,585,1173,0.499,1.25,0.51
2010,35,Northern Iowa,32,63.3,6.6,19,211,598,0.353,477,999,0.477,1.27,0.497
2010,36,Oklahoma State,32,74.3,8.4,24,268,762,0.352,549,1055,0.52,1.31,0.523
2010,37,Wofford,34,69.4,5.9,17,200,573,0.349,605,1252,0.483,1.29,0.496
2010,38,UTEP,32,75.8,6.2,18,197,568,0.347,670,1254,0.534,1.33,0.53
2010,39,Texas,33,81.2,5.7,16,187,542,0.345,792,1547,0.512,1.28,0.513
2010,40,Kentucky,33,79.4,6,18,199,579,0.344,725,1348,0.538,1.36,0.531
2010,41,Pittsburgh,32,68.1,5.3,15,170,495,0.343,584,1197,0.488,1.29,0.496
2010,42,Butler,32,70.1,6.8,20,216,632,0.342,511,974,0.525,1.4,0.52
2010,43,Louisville,32,76.3,8,24,257,758,0.339,593,1142,0.519,1.29,0.515
2010,44,Morgan St,36,76.8,5.6,17,202,598,0.338,740,1580,0.468,1.27,0.479
2010,45,Temple,33,65.2,5.8,17,193,574,0.336,612,1269,0.482,1.17,0.489
2010,46,Clemson,31,73.3,6.6,20,204,607,0.336,619,1208,0.512,1.25,0.51
2010,47,Florida State,31,68.5,5.8,17,180,536,0.336,582,1138,0.511,1.27,0.509
2010,48,West Virginia,33,73,6.9,21,229,682,0.336,605,1240,0.488,1.25,0.493
2010,49,North Texas,32,74.2,5.4,16,174,519,0.335,607,1174,0.517,1.4,0.513
2010,50,Texas A&M,32,71.8,6.2,18,197,591,0.333,568,1139,0.499,1.33,0.499
2010,51,Michigan State,32,72.6,4.8,14,153,459,0.333,708,1360,0.521,1.28,0.515
2010,52,UNLV,33,73.3,6.7,20,222,673,0.33,652,1219,0.535,1.28,0.521
2010,53,Oakland,34,76.8,5.9,18,202,619,0.326,699,1377,0.508,1.31,0.502
2010,54,Washington,33,79.8,5.2,16,171,526,0.325,749,1509,0.496,1.29,0.494
2010,55,Siena,33,75.5,4.8,15,157,486,0.323,750,1492,0.503,1.26,0.498
2010,56,San Diego State,33,70.6,5.3,17,176,546,0.322,679,1248,0.544,1.3,0.526
2010,57,Vermont,34,70.6,4.7,15,161,502,0.321,642,1316,0.488,1.32,0.486
2010,58,Purdue,32,71.1,5.4,17,172,539,0.319,622,1242,0.501,1.28,0.494
2010,59,Old Dominion,34,67.5,4.6,15,157,497,0.316,722,1463,0.494,1.17,0.489
2010,60,Wake Forest,29,73,4.3,14,126,402,0.313,634,1333,0.476,1.22,0.474
2010,61,Tennessee,33,73.6,5.9,19,194,619,0.313,689,1332,0.517,1.25,0.502
2010,62,Florida,33,71.6,5.8,19,193,616,0.313,663,1312,0.505,1.23,0.494
2010,63,East Tennessee State,34,69.2,5.1,16,173,558,0.31,659,1356,0.486,1.23,0.48
2010,64,Arkansas-Pine Bluff,32,64.4,4.1,13,131,431,0.304,560,1250,0.448,1.23,0.45
2010,65,Winthrop,32,62.4,3.8,15,122,478,0.255,597,1400,0.426,1.06,0.415
2009,1,California,32,75,6.3,15,203,468,0.434,664,1321,0.503,1.34,0.541
2009,2,Cornell,30,74.1,7.8,19,235,566,0.415,563,1106,0.509,1.33,0.548
2009,3,North Dakota State,32,80.8,7.1,17,228,554,0.412,689,1320,0.522,1.38,0.55
2009,4,Xavier,32,72.4,6.9,17,220,551,0.399,559,1131,0.494,1.38,0.529
2009,5,UCLA,33,76,7.5,19,247,620,0.398,679,1254,0.541,1.34,0.56
2009,6,Utah State,34,72.9,6.3,16,215,540,0.398,662,1220,0.543,1.41,0.559
2009,7,Robert Morris,34,70.7,6.5,16,221,556,0.397,634,1242,0.51,1.34,0.537
2009,8,Arizona,32,72.2,6.2,16,198,501,0.395,623,1229,0.507,1.34,0.532
